filepath,filename,class,class_idx,split
data/raw/motor_off/motor_off_0000.wav,motor_off_0000.wav,motor_off,0,val
data/raw/motor_off/motor_off_0001.wav,motor_off_0001.wav,motor_off,0,train
data/raw/motor_off/motor_off_0002.wav,motor_off_0002.wav,motor_off,0,train
data/raw/motor_off/motor_off_0003.wav,motor_off_0003.wav,motor_off,0,val
data/raw/motor_off/motor_off_0004.wav,motor_off_0004.wav,motor_off,0,train
data/raw/motor_off/motor_off_0005.wav,motor_off_0005.wav,motor_off,0,train
data/raw/motor_off/motor_off_0006.wav,motor_off_0006.wav,motor_off,0,train
data/raw/motor_off/motor_off_0007.wav,motor_off_0007.wav,motor_off,0,train
data/raw/motor_off/motor_off_0008.wav,motor_off_0008.wav,motor_off,0,train
data/raw/motor_off/motor_off_0009.wav,motor_off_0009.wav,motor_off,0,train
data/raw/motor_off/motor_off_0010.wav,motor_off_0010.wav,motor_off,0,train
data/raw/motor_off/motor_off_0011.wav,motor_off_0011.wav,motor_off,0,train
data/raw/motor_off/motor_off_0012.wav,motor_off_0012.wav,motor_off,0,val
data/raw/motor_off/motor_off_0013.wav,motor_off_0013.wav,motor_off,0,train
data/raw/motor_off/motor_off_0014.wav,motor_off_0014.wav,motor_off,0,train
data/raw/motor_off/motor_off_0015.wav,motor_off_0015.wav,motor_off,0,train
data/raw/motor_off/motor_off_0016.wav,motor_off_0016.wav,motor_off,0,train
data/raw/motor_off/motor_off_0017.wav,motor_off_0017.wav,motor_off,0,train
data/raw/motor_off/motor_off_0018.wav,motor_off_0018.wav,motor_off,0,train
data/raw/motor_off/motor_off_0019.wav,motor_off_0019.wav,motor_off,0,val
data/raw/motor_off/motor_off_0020.wav,motor_off_0020.wav,motor_off,0,train
data/raw/motor_off/motor_off_0021.wav,motor_off_0021.wav,motor_off,0,train
data/raw/motor_off/motor_off_0022.wav,motor_off_0022.wav,motor_off,0,train
data/raw/motor_off/motor_off_0023.wav,motor_off_0023.wav,motor_off,0,train
data/raw/motor_off/motor_off_0024.wav,motor_off_0024.wav,motor_off,0,train
data/raw/motor_off/motor_off_0025.wav,motor_off_0025.wav,motor_off,0,train
data/raw/motor_off/motor_off_0026.wav,motor_off_0026.wav,motor_off,0,val
data/raw/motor_off/motor_off_0027.wav,motor_off_0027.wav,motor_off,0,train
data/raw/motor_off/motor_off_0028.wav,motor_off_0028.wav,motor_off,0,train
data/raw/motor_off/motor_off_0029.wav,motor_off_0029.wav,motor_off,0,val
data/raw/motor_off/motor_off_0030.wav,motor_off_0030.wav,motor_off,0,train
data/raw/motor_off/motor_off_0031.wav,motor_off_0031.wav,motor_off,0,train
data/raw/motor_off/motor_off_0032.wav,motor_off_0032.wav,motor_off,0,train
data/raw/motor_off/motor_off_0033.wav,motor_off_0033.wav,motor_off,0,train
data/raw/motor_off/motor_off_0034.wav,motor_off_0034.wav,motor_off,0,train
data/raw/motor_off/motor_off_0035.wav,motor_off_0035.wav,motor_off,0,train
data/raw/motor_off/motor_off_0036.wav,motor_off_0036.wav,motor_off,0,train
data/raw/motor_off/motor_off_0037.wav,motor_off_0037.wav,motor_off,0,train
data/raw/motor_off/motor_off_0038.wav,motor_off_0038.wav,motor_off,0,train
data/raw/motor_off/motor_off_0039.wav,motor_off_0039.wav,motor_off,0,train
data/raw/motor_off/motor_off_0040.wav,motor_off_0040.wav,motor_off,0,train
data/raw/motor_off/motor_off_0041.wav,motor_off_0041.wav,motor_off,0,train
data/raw/motor_off/motor_off_0042.wav,motor_off_0042.wav,motor_off,0,train
data/raw/motor_off/motor_off_0043.wav,motor_off_0043.wav,motor_off,0,train
data/raw/motor_off/motor_off_0044.wav,motor_off_0044.wav,motor_off,0,train
data/raw/motor_off/motor_off_0045.wav,motor_off_0045.wav,motor_off,0,train
data/raw/motor_off/motor_off_0046.wav,motor_off_0046.wav,motor_off,0,val
data/raw/motor_off/motor_off_0047.wav,motor_off_0047.wav,motor_off,0,train
data/raw/motor_off/motor_off_0048.wav,motor_off_0048.wav,motor_off,0,train
data/raw/motor_off/motor_off_0049.wav,motor_off_0049.wav,motor_off,0,train
data/raw/motor_off/motor_off_0050.wav,motor_off_0050.wav,motor_off,0,val
data/raw/motor_off/motor_off_0051.wav,motor_off_0051.wav,motor_off,0,val
data/raw/motor_off/motor_off_0052.wav,motor_off_0052.wav,motor_off,0,train
data/raw/motor_off/motor_off_0053.wav,motor_off_0053.wav,motor_off,0,train
